Date,Location,Rainfall_mm,WaterLevel_m,SoilMoisture_pct,Elevation_m,FloodOccurrence,Year
2016-01-01,Quezon City,12.0,0.5,15.3,43,0,2016
2016-01-01,Marikina,10.6,1.8,23.2,15,0,2016
2016-01-01,Manila,5.7,0.5,15.6,5,0,2016
2016-01-01,Pasig,3.7,0.5,5.0,5,0,2016
2016-01-02,Quezon City,3.4,0.5,13.3,43,0,2016
2016-01-02,Marikina,0.7,0.5,10.7,15,0,2016
2016-01-02,Manila,5.3,0.5,13.2,5,0,2016
2016-01-02,Pasig,16.1,3.5,15.0,5,0,2016
2016-01-03,Quezon City,8.2,0.6,8.8,43,0,2016
2016-01-03,Marikina,11.1,0.5,16.6,15,0,2016
2016-01-03,Manila,2.4,0.5,12.2,5,0,2016
2016-01-03,Pasig,15.4,1.2,17.1,5,0,2016
2016-01-04,Quezon City,2.0,0.5,7.4,43,0,2016
2016-01-04,Marikina,3.8,0.5,13.5,15,0,2016
2016-01-04,Manila,4.7,1.1,15.4,5,0,2016
2016-01-04,Pasig,15.5,1.2,13.6,5,0,2016
2016-01-05,Quezon City,10.7,0.9,20.2,43,0,2016
2016-01-05,Marikina,6.0,2.0,17.1,15,0,2016
2016-01-05,Manila,7.9,1.8,19.0,5,0,2016
2016-01-05,Pasig,14.6,3.0,17.1,5,0,2016
2016-01-06,Quezon City,0.3,0.5,14.3,43,0,2016
2016-01-06,Marikina,17.0,2.1,17.4,15,0,2016
2016-01-06,Manila,22.0,2.0,18.4,5,0,2016
2016-01-06,Pasig,5.9,0.9,17.5,5,0,2016
2016-01-07,Quezon City,5.4,1.9,15.3,43,0,2016
2016-01-07,Marikina,9.5,0.6,11.2,15,0,2016
2016-01-07,Manila,6.0,0.5,5.7,5,0,2016
2016-01-07,Pasig,10.8,0.5,13.7,5,0,2016
2016-01-08,Quezon City,7.3,0.5,15.7,43,0,2016
2016-01-08,Marikina,21.1,2.1,11.0,15,0,2016
2016-01-08,Manila,8.7,1.3,26.7,5,0,2016
2016-01-08,Pasig,6.8,0.5,13.2,5,0,2016
2016-01-09,Quezon City,18.1,1.0,22.8,43,0,2016
2016-01-09,Marikina,20.8,4.3,23.3,15,0,2016
2016-01-09,Manila,3.4,2.0,8.9,5,0,2016
2016-01-09,Pasig,15.3,1.6,9.9,5,0,2016
2016-01-10,Quezon City,3.2,0.9,14.0,43,0,2016
2016-01-10,Marikina,7.3,0.5,9.7,15,0,2016
2016-01-10,Manila,14.8,2.8,11.2,5,0,2016
2016-01-10,Pasig,37.8,4.6,30.2,5,1,2016
2016-01-11,Quezon City,2.6,0.9,5.0,43,0,2016
2016-01-11,Marikina,18.9,1.2,20.9,15,0,2016
2016-01-11,Manila,27.1,3.4,25.9,5,0,2016
2016-01-11,Pasig,3.6,0.5,17.6,5,0,2016
2016-01-12,Quezon City,16.2,0.8,20.2,43,0,2016
2016-01-12,Marikina,9.3,0.5,10.2,15,0,2016
2016-01-12,Manila,7.8,2.0,15.6,5,0,2016
2016-01-12,Pasig,12.3,4.0,14.8,5,0,2016
2016-01-13,Quezon City,13.1,1.4,12.3,43,0,2016
2016-01-13,Marikina,7.5,1.5,12.6,15,0,2016
2016-01-13,Manila,11.8,0.7,15.5,5,0,2016
2016-01-13,Pasig,14.4,2.3,15.0,5,0,2016
2016-01-14,Quezon City,9.8,1.6,8.7,43,0,2016
2016-01-14,Marikina,25.7,1.4,23.1,15,0,2016
2016-01-14,Manila,10.9,0.5,18.3,5,0,2016
2016-01-14,Pasig,20.8,2.6,23.0,5,0,2016
2016-01-15,Quezon City,12.1,2.5,35.3,43,0,2016
2016-01-15,Marikina,16.5,2.4,16.7,15,0,2016
2016-01-15,Manila,4.3,0.5,11.0,5,0,2016
2016-01-15,Pasig,5.3,0.5,16.1,5,0,2016
2016-01-16,Quezon City,5.6,2.1,18.2,43,0,2016
2016-01-16,Marikina,9.2,1.1,10.9,15,0,2016
2016-01-16,Manila,8.6,2.2,11.0,5,0,2016
2016-01-16,Pasig,14.9,1.7,7.3,5,0,2016
2016-01-17,Quezon City,4.7,0.5,16.6,43,0,2016
2016-01-17,Marikina,24.3,1.8,19.8,15,0,2016
2016-01-17,Manila,25.7,2.9,24.9,5,0,2016
2016-01-17,Pasig,24.2,1.9,14.5,5,0,2016
2016-01-18,Quezon City,19.5,1.7,16.2,43,0,2016
2016-01-18,Marikina,27.2,1.7,7.4,15,0,2016
2016-01-18,Manila,6.8,2.2,7.2,5,0,2016
2016-01-18,Pasig,20.1,0.6,27.3,5,0,2016
2016-01-19,Quezon City,18.3,1.6,19.2,43,0,2016
2016-01-19,Marikina,8.7,1.5,14.9,15,0,2016
2016-01-19,Manila,23.3,3.0,15.5,5,0,2016
2016-01-19,Pasig,8.8,0.5,15.8,5,0,2016
2016-01-20,Quezon City,7.1,0.5,11.1,43,0,2016
2016-01-20,Marikina,6.2,0.9,17.6,15,0,2016
2016-01-20,Manila,14.8,2.0,20.5,5,0,2016
2016-01-20,Pasig,4.5,0.6,12.1,5,0,2016
2016-01-21,Quezon City,19.6,3.5,16.8,43,0,2016
2016-01-21,Marikina,5.8,0.6,19.4,15,0,2016
2016-01-21,Manila,13.6,1.1,15.2,5,0,2016
2016-01-21,Pasig,5.0,1.1,13.0,5,0,2016
2016-01-22,Quezon City,4.1,1.6,22.5,43,0,2016
2016-01-22,Marikina,2.7,0.9,14.5,15,0,2016
2016-01-22,Manila,8.3,0.5,9.7,5,0,2016
2016-01-22,Pasig,25.8,2.3,18.8,5,0,2016
2016-01-23,Quezon City,11.3,0.7,12.8,43,0,2016
2016-01-23,Marikina,9.7,1.2,12.5,15,0,2016
2016-01-23,Manila,2.0,0.5,5.0,5,0,2016
2016-01-23,Pasig,20.6,3.5,21.9,5,0,2016
2016-01-24,Quezon City,15.2,1.2,16.8,43,0,2016
2016-01-24,Marikina,8.3,0.5,15.8,15,0,2016
2016-01-24,Manila,12.2,0.5,23.8,5,0,2016
2016-01-24,Pasig,4.0,0.5,13.1,5,0,2016
2016-01-25,Quezon City,9.0,3.2,10.6,43,0,2016
2016-01-25,Marikina,11.2,0.5,26.4,15,0,2016
2016-01-25,Manila,15.3,1.4,18.6,5,0,2016
2016-01-25,Pasig,16.4,1.0,14.0,5,0,2016
2016-01-26,Quezon City,0.8,0.5,7.8,43,0,2016
2016-01-26,Marikina,10.9,1.6,11.0,15,0,2016
2016-01-26,Manila,2.4,0.5,20.4,5,0,2016
2016-01-26,Pasig,6.6,2.0,5.0,5,0,2016
2016-01-27,Quezon City,7.6,0.7,20.0,43,0,2016
2016-01-27,Marikina,8.0,0.8,14.0,15,0,2016
2016-01-27,Manila,5.8,0.5,16.0,5,0,2016
2016-01-27,Pasig,12.3,2.5,8.5,5,0,2016
2016-01-28,Quezon City,10.7,1.2,11.6,43,0,2016
2016-01-28,Marikina,22.9,4.0,31.8,15,0,2016
2016-01-28,Manila,6.8,2.2,18.3,5,0,2016
2016-01-28,Pasig,15.4,0.5,23.0,5,0,2016
2016-01-29,Quezon City,2.8,0.5,5.0,43,0,2016
2016-01-29,Marikina,0.7,0.5,18.5,15,0,2016
2016-01-29,Manila,1.5,0.5,10.5,5,0,2016
2016-01-29,Pasig,11.2,1.8,9.1,5,0,2016
2016-01-30,Quezon City,10.9,1.8,10.8,43,0,2016
2016-01-30,Marikina,6.6,1.2,8.4,15,0,2016
2016-01-30,Manila,5.4,0.5,8.7,5,0,2016
2016-01-30,Pasig,7.2,0.8,23.4,5,0,2016
2016-01-31,Quezon City,4.6,1.3,13.4,43,0,2016
2016-01-31,Marikina,4.9,0.5,9.8,15,0,2016
2016-01-31,Manila,6.7,0.5,5.0,5,0,2016
2016-01-31,Pasig,0.7,0.5,13.2,5,0,2016
2016-02-01,Quezon City,48.2,6.3,39.7,43,1,2016
2016-02-01,Marikina,0.4,0.5,6.4,15,0,2016
2016-02-01,Manila,4.8,0.7,7.0,5,0,2016
2016-02-01,Pasig,15.7,3.0,17.8,5,0,2016
2016-02-02,Quezon City,8.8,0.5,10.1,43,0,2016
2016-02-02,Marikina,23.3,0.9,17.3,15,0,2016
2016-02-02,Manila,15.9,1.6,27.5,5,0,2016
2016-02-02,Pasig,9.2,0.5,11.3,5,0,2016
2016-02-03,Quezon City,5.1,0.5,8.2,43,0,2016
2016-02-03,Marikina,13.6,0.5,15.6,15,0,2016
2016-02-03,Manila,5.1,1.0,16.3,5,0,2016
2016-02-03,Pasig,9.7,1.5,6.5,5,0,2016
2016-02-04,Quezon City,4.7,0.7,15.2,43,0,2016
2016-02-04,Marikina,0.2,0.5,11.4,15,0,2016
2016-02-04,Manila,13.2,4.1,8.3,5,0,2016
2016-02-04,Pasig,1.7,0.5,6.5,5,0,2016
2016-02-05,Quezon City,16.7,2.8,15.5,43,0,2016
2016-02-05,Marikina,14.4,0.6,5.0,15,0,2016
2016-02-05,Manila,12.6,1.4,15.3,5,0,2016
2016-02-05,Pasig,8.9,0.7,14.9,5,0,2016
2016-02-06,Quezon City,18.4,1.2,20.5,43,0,2016
2016-02-06,Marikina,12.7,0.8,18.3,15,0,2016
2016-02-06,Manila,10.3,0.8,25.5,5,0,2016
2016-02-06,Pasig,16.1,0.6,7.9,5,0,2016
2016-02-07,Quezon City,1.2,0.5,8.8,43,0,2016
2016-02-07,Marikina,8.4,0.5,18.3,15,0,2016
2016-02-07,Manila,9.9,1.2,18.8,5,0,2016
2016-02-07,Pasig,12.6,0.8,18.0,5,0,2016
2016-02-08,Quezon City,13.1,0.8,27.9,43,0,2016
2016-02-08,Marikina,11.2,0.5,19.8,15,0,2016
2016-02-08,Manila,8.8,0.5,12.0,5,0,2016
2016-02-08,Pasig,14.9,0.5,16.1,5,0,2016
